# Individual alphabet characters
qie5	q ie4
qin1	q in1
qin2	q in2
qin3	q in3
qin4	q in4
qin5	q in4
qing1	q ing1
qing2	q ing2
qing3	q ing3
qing4	q ing4
qing5	q ing4
qiong1	q iong1
qiong2	q iong2
qiong3	q iong3
qiong4	q iong4
qiong5	q iong4
qiu1	q iou1
qiu2	q iou2
qiu3	q iou3
qiu4	q iou4
qiu5	q iou4
qu1	q yv1
qu2	q yv2
qu3	q yv3
qu4	q yv4
qu5	q yv4
quan1	q yvan1
quan2	q yvan2
quan3	q yvan3
quan4	q yvan4
quan5	q yvan4
que1	q yve1
que2	q yve2
que3	q yve3
que4	q yve4
que5	q yve4
qun1	q yvn1
qun2	q yvn2
qun3	q yvn3
qun4	q yvn4
qun5	q yvn4
ran1	r an1
ran2	r an2
ran3	r an3
ran4	r an4
ran5	r an4
rang1	r ang1
rang2	r ang2
rang3	r ang3
rang4	r ang4
rang5	r ang4
rao1	r ao1
rao2	r ao2
rao3	r ao3
rao4	r ao4
rao5	r ao4
re1	r e1
re2	r e2
re3	r e3
re4	r e4
re5	r e4
ren1	r en1
ren2	r en2
ren3	r en3
ren4	r en4
ren5	r en4
reng1	r eng1
reng2	r eng2
reng3	r eng3
reng4	r eng4
reng5	r eng4
ri4	r yi4
rong1	r ong1
rong2	r ong2
rong3	r ong3
rong4	r ong4
rong5	r ong4
rou1	r ou1
rou2	r ou2
rou3	r ou3
rou4	r ou4
rou5	r ou4
ru1	r u1
ru2	r u2
ru3	r u3
ru4	r u4
ru5	r u4
ruan1	r uan1
ruan2	r uan2
ruan3	r uan3
ruan4	r uan4
ruan5	r uan4
rui1	r uei1
rui2	r uei2
rui3	r uei3
rui4	r uei4
rui5	r uei4
run1	r uen1
run2	r uen2
run3	r uen3
run4	r uen4
run5	r uen4
ruo1	r uo1
ruo2	r uo2
ruo3	r uo3
ruo4	r uo4
ruo5	r uo4
sa1	s a1
sa2	s a2
sa3	s a3
sa4	s a4
sa5	s a4
sai1	s ai1
sai2	s ai2
sai3	s ai3
sai4	s ai4
sai5	s ai4
san1	s an1
san2	s an2
san3	s an3
san4	s an4
san5	s an4
sang1	s ang1
sang2	s ang2
sang3	s ang3
sang4	s ang4
sang5	s ang4
sao1	s ao1
sao2	s ao2
sao3	s ao3
sao4	s ao4
sao5	s ao4
se1	s e1
se2	s e2
se3	s e3
se4	s e4
se5	s e4
sen1	s en1
sen2	s en2
sen3	s en3
sen4	s en4
sen5	s en4
seng1	s eng1
sha1	sh a1
sha2	sh a2
sha3	sh a3
sha4	sh a4
sha5	sh a4
shai1	sh ai1
shai2	sh ai2
shai3	sh ai3
shai4	sh ai4
shai5	sh ai4
shan1	sh an1
shan2	sh an2
shan3	sh an3
shan4	sh an4
shan5	sh an4
shang1	sh ang1
shang2	sh ang2
shang3	sh ang3
shang4	sh ang4
shang5	sh ang4
shao1	sh ao1
shao2	sh ao2
shao3	sh ao3
shao4	sh ao4
shao5	sh ao4
she1	sh e1
she2	sh e2
she3	sh e3
she4	sh e4
she5	sh e4
shei1	sh ei1
shei2	sh ei2
shei3	sh ei3
shei4	sh ei4
shei5	sh ei4
shen1	sh en1
shen2	sh en2
shen3	sh en3
shen4	sh en4
shen5	sh en4
sheng1	sh eng1
sheng2	sh eng2
sheng3	sh eng3
sheng4	sh eng4
sheng5	sh eng4
shi1	sh yi1
shi2	sh yi2
shi3	sh yi3
shi4	sh yi4
shi5	sh yi4
shou1	sh ou1
shou2	sh ou2
shou3	sh ou3
shou4	sh ou4
shou5	sh ou4
shu1	sh u1
shu2	sh u2
shu3	sh u3
shu4	sh u4
shu5	sh u4
shua1	sh ua1
shua2	sh ua2
shua3	sh ua3
shua4	sh ua4
shua5	sh ua4
shuai1	sh uai1
shuai2	sh uai2
shuai3	sh uai3
shuai4	sh uai4
shuai5	sh uai4
shuan1	sh uan1
shuan2	sh uan2
shuan3	sh uan3
shuan4	sh uan4
shuan5	sh uan4
shuang1	sh uang1
shuang2	sh uang2
shuang3	sh uang3
shuang4	sh uang4
shuang5	sh uang4
shui1	sh uei1
shui2	sh uei2
shui3	sh uei3
shui4	sh uei4
shui5	sh uei4
shun1	sh uen1
shun2	sh uen2
shun3	sh uen3
shun4	sh uen4
shun5	sh uen4
shuo1	sh uo1
shuo2	sh uo2
shuo3	sh uo3
shuo4	sh uo4
shuo5	sh uo4
si1	s yi1
si2	s yi2
si3	s yi3
si4	s yi4
si5	s yi4
song1	s ong1
song2	s ong2
song3	s ong3
song4	s ong4
song5	s ong4
sou1	s ou1
sou2	s ou2
sou3	s ou3
sou4	s ou4
sou5	s ou4
su1	s u1
su2	s u2
su3	s u3
